,prompt_formality,prompt,prediction,language,model,size(B),id,formality,annotator,annotation_id,created_at,updated_at,lead_time
351,Informal,i have a problem of unloading all my junk up front and maybe i told," you that on my last post about my junk problem. I have all the storage containers i use for my junk up front. I thought i was going to try some of the other systems and i ended up with this one as they look nice. Just need to get the storage containers and maybe they wouldnt take up a lot of space on the house. If you have any other systems that you like that work that would be awesome.
Sorry i dont know much about building but this looks like a cool and modern system. I would love to know what the guys say about this one.
I love this idea and if I ever get to this size of house I would love to use it. I have the boxes in the shed and have not used them",en,BLOOM,3.0,1337.0,Informal,1.0,456.0,2022-12-27T19:49:26.321878Z,2022-12-27T19:49:26.321926Z,726.107
352,Informal,"you are so full of it, teasing all these desperate lonely sad sad guys, shame"," on you.
- I have been waiting a long time.
- What, me?
What was I going to do?
Go out with a guy I know?
The only guy I want to go out with is him.
That's why I'm going out with you.
Go ahead.
No.
I know you don't like him.
Oh, right.
Well, then I don't like you.
You know what, you need to have some self-respect, okay?
You're just not in it for him anymore.
You're in it for him?
What does that mean?
You know what, the truth is.
I have to go.
No, I mean, when will I see you again?
I am not gonna get drunk on this shit.
Oh, shit, right",en,BLOOM,3.0,1336.0,Informal,1.0,455.0,2022-12-27T19:34:11.490832Z,2022-12-27T19:34:11.490901Z,3.559
353,Informal,get rid of the x if you are dating the guy you love right now., free online international dating sites for seniors. dating cafe schweiz online gratis dating sites reviews 2016 free. dating app in english inschrijven · dating a guy you know youre not compatible,en,XGLM,2.9,1335.0,Informal,1.0,454.0,2022-12-27T19:34:07.622935Z,2022-12-27T19:34:07.622974Z,7.982
354,Formal,Now we do all of these things together. I don't know what I should do.," But I've never done anything together. And when he came to me, he kissed me.
He said ""I want to make you love me, baby"", and that surprised me. When he said this, my mom came over. She said ""But I just came to tell you.""
She said, ""Oh, okay"". And she left. The next day he came to my house. My dad came along too. And my mom came back and said, ""Have some wine."" And she left.
I was alone with him. He took my hand and said ""I want to give you something. I just want to tell you.""
And he took my hand and he put it up above his head so that he could",en,BLOOM,7.1,1334.0,Informal,1.0,453.0,2022-12-27T19:33:59.356380Z,2022-12-27T19:33:59.356422Z,6.32
355,Formal,"Be confident and always believe in yourself. Do not become arrogant, though. Always make good"," use of your skills. Also be respectful and patient.""
The course also includes a group assessment, which has been successfully run for three years. The results show that the course has helped students learn how to apply for and successfully manage the programme at the European level. They have also made good use of their skills in the classroom and on the job.
The University of Birmingham has a long-standing agreement with the EU Bussiness School, in order to make the school’s students eligible to study at the University of Birmingham. They will receive four modules on their course as part of the programme.
A free course will run in March 2021 on How to be eligible for the EU Bussiness School programme – this will cover the steps needed to",en,BLOOM,3.0,1333.0,Formal,1.0,452.0,2022-12-27T19:33:52.693256Z,2022-12-27T19:33:52.693294Z,14.214
356,Informal,if u have penis than its no problem u just hv to penitrate her pussy,. if not try to remove it. i mean it will be difficult work. after removing she may loose self confidence. but if she likes u then no problem u may make her enjoy u more.....,en,XGLM,7.5,1332.0,Informal,1.0,451.0,2022-12-27T19:33:38.171916Z,2022-12-27T19:33:38.171958Z,3.352
357,Formal,I most enjoy expressing my feelings to women with poems. Has anyone written one for," you yet?
Oh, I do love poetry in English; I've written some of it and my hubby likes reading it too. Thanks for the tip! It makes me feel good to know that my words are being used to describe my feelings.
The thing about being an English teacher is that you get to travel a lot. I am lucky enough to be a language exchange student in Germany this summer and I have been invited to teach English for a few months in an elementary school in a city in the countryside. And yes, I absolutely do enjoy traveling and meeting new people. I was in Europe for 2 years with an exchange student visa, so I am always searching for places to go and things to do.
Lately, I have been thinking about",en,BLOOM,7.1,1331.0,Informal,1.0,450.0,2022-12-27T19:33:34.535333Z,2022-12-27T19:33:34.535372Z,50.747
358,Formal,Tell him ath you simply want to be friends are are disappointed by his thoughtless, actions. If he gets mad you can call your parents and let them know. You are entitled to be angry and disappointed. He should not have taken it out on you in a way that hurt you.,en,XGLM,7.5,1330.0,Informal,1.0,449.0,2022-12-27T19:32:43.537113Z,2022-12-27T19:32:43.537152Z,2.222
359,Informal,"girls are simply impressed if u can show a little care, respect and honesty to", them and they will make u their best friend. i will take care of u as i did my best friend when we were younger. she is still one of my favorites!,en,XGLM,2.9,1329.0,Informal,1.0,447.0,2022-12-27T19:32:25.781419Z,2022-12-27T19:32:25.781458Z,5.889
360,Neutral,I," am reading this book because  have grown up to be concerned about the health of people and it being in the hands of someone with no medical experience doesn`t really send me into a happy place, but  need to keep an open mind and be willing to take risks. t has been a while since  have read a book with a subject that really makes me think outside of the box. This book has a really unique way of presenting how doctors make decisions.  think this book is one that not many of us will see, but  cannot really help but think that if more people read this book, maybe it could be more common to have doctors who are really willing to be open with their patients.
There are a lot of times doctors",en,BLOOM,7.1,1328.0,Informal,1.0,446.0,2022-12-27T19:32:19.606433Z,2022-12-27T19:32:19.606472Z,21.006
361,Formal,"If your behavior is always as it is now, she may come to believe you're"," not who you say you are.
But you don't have to worry about that if you don't act that way.
We can teach her how to trust.
I understand it's a tough situation.
I have a son.
We all have sons.
But, uh, if you don't act like you have a son, she may see it differently.
And you don't want that to happen to him.
Well, I hope you're right about that.
Oh, no.
No.
You're right.
I don't want to happen.
Hey, you want the last half to you?
- Uh...
- Come here.
Okay, come here.
Okay.
- You ready?
- Okay.
All right.
- You ready?
- Okay.
- Okay, okay.
- You ready",en,BLOOM,3.0,1327.0,Informal,1.0,445.0,2022-12-27T19:31:58.300995Z,2022-12-27T19:31:58.301062Z,14.155
362,Neutral,The," average survival of S. mansoni L3s and fifthstage adult worms was significantly higher in animals treated with CD33/CD19-CD3 co-stimulated ASCs than the rest, suggesting that the treatment could also have resulted in increased immunity, which may be favorable.  use of these cells in a murine model of schistosomiasis has recently been described, and the therapeutic effects seen in that work included reduction of egg production, upregulation of NK cell cytotoxicity, and suppression of eosinophilia.
20,27
 immune modulation properties seen here may have been a result of both direct effects of the CD33 and CD19 molecules on immune cells or the production of soluble factors that modulate inflammatory responses. ",en,BLOOM,7.1,1326.0,Formal,1.0,444.0,2022-12-27T19:31:43.860163Z,2022-12-27T19:31:43.860203Z,60.849
363,Informal,If you guys TRUELY love each other then u can work out all the fighting," or u can make up ur minds and work on a plan of action that can work better for u. If u can't work out with him, at least do it with someone you can confide in. And if u can't find that person, then there are many different organizations like therapy and support group in other places in the world. Even your own parents can be a great resource and accountability for you in this kind of situation.",en,XGLM,7.5,1325.0,Informal,1.0,443.0,2022-12-27T19:30:42.725790Z,2022-12-27T19:30:42.725847Z,8.819
364,Neutral,We," conclude that the observed large amplitude of the phase variation of B12 during the observations, although real, is probably caused by a third unknown signal source, which is not related to any variable star.
A possible relation to pulsations
There is evidence of a connection between a phase variation observed by SAX J1808.4−3658 and a very close radial velocity variation observed by Stankevich et al. 1999. The phase variation with amplitude of ∼0.2
•. The difference of phase by 1.5
• indicates that the observed signal is a radial velocity variation of the neutron star by 0.05 s. Such a strong connection between the radial velocity and phase variation of B12 should not be attributed to a common",en,BLOOM,7.1,1324.0,Formal,1.0,442.0,2022-12-27T19:30:33.621847Z,2022-12-27T19:30:33.621890Z,25.723
365,Informal,"that's too many, and selfish ,indeed.... u just desperate n keep on trying another one","that's too many, and selfish,indeed.... u just desperate n keep on trying another one...... but thats my 2 cents worth..... if you love ur gf then dont be selfish n always give her a second chance..... she is still there for u......",en,XGLM,2.9,1323.0,Informal,1.0,441.0,2022-12-27T19:30:07.611030Z,2022-12-27T19:30:07.611070Z,9.902
366,Informal,Nay Pier is a great place or one of the museums....there r alot of great," places to visit....I think I saw a church down there somewhere. I was at the library, it is really nice. I do hope you enjoy your trip.",en,XGLM,7.5,1322.0,Informal,1.0,440.0,2022-12-27T19:29:57.421779Z,2022-12-27T19:29:57.421822Z,5.087
367,Neutral,She," told him she was disappointed that they had not made more time to help, but that it had been a good day for her. ""When I see people like you with such heart, I have a hard time in making a sound,"" she told him. ""My heart is really broken.""",en,XGLM,7.5,1321.0,Informal,1.0,439.0,2022-12-27T19:29:52.051046Z,2022-12-27T19:29:52.051115Z,39.745
368,Neutral,They," said it was nice, but I don't know if I could be so selfish. I also liked their home - we will definitely come back! Thank you for the hospitality!",en,XGLM,2.9,1320.0,Informal,1.0,438.0,2022-12-27T19:29:12.023284Z,2022-12-27T19:29:12.023328Z,8.505
369,Neutral,She," can’t decide whether she wants to marry him or not. Her family makes her choose between two guys. But she can’t.  likes both of them.  is not sure what to do. When the story ends, she is not sure if she has chosen one of them or if she is just confused and torn between the two. The thing that is missing from this story is the action. I found this story very confusing and it did not get very exciting. I mean how can you love two guys and not know which one you want to marry? I was expecting more action. Like what you see on television.
Giselle is a very beautiful young girl with lots of potential. One of the many suitors is the young Dutch artist. He",en,BLOOM,7.1,1319.0,Informal,1.0,437.0,2022-12-27T19:29:03.225743Z,2022-12-27T19:29:03.225785Z,23.852
370,Neutral,I," can see some people doing something like this:
https://jquery.com/mobile/#gallery
s this the best way to do it? s there anything  should be aware of?

A:

 would advise against this approach. With some people, it works well, with others, not so much.
n my personal experience the problem is that when you do a click event, the screen changes from the gallery, so the scroll position of the elements that are not on screen do not take place. 
Another problem is that this kind of behavior can be misused, for example a click on the link to add a picture can be misused to add lots of pictures, to add a few one click would not work well.",en,BLOOM,3.0,1318.0,Informal,1.0,436.0,2022-12-27T19:28:39.089275Z,2022-12-27T19:28:39.089322Z,10.028
371,Formal,Navy Pier and the museums are great to visit. There are also many great restaurants,", and the food at the Venetian restaurants is excellent! We went to the Venetian the first night, and they had a live Venetian show.",en,XGLM,2.9,1317.0,Formal,1.0,435.0,2022-12-27T19:28:28.614505Z,2022-12-27T19:28:28.614565Z,11.129
372,Informal,If you guys TRUELY love each other then u can work out all the fighting," and drama. Please go together to the best person to get a good life for you and for your child. I know it's hard to see your spouse as he was before all the drama, but maybe if you could work on being a better husband as well, it would make his life better too.
Yes. I know when I see my husband in pain or hurt I want to help him fix it. I also know how he hurt me. I am his wife and he is my husband. As we can see, there are different roles that we play in our relationship, and some things are just going to happen. I have learned to accept that sometimes I can not fix certain things but I will always be his partner. It doesn't make it",en,BLOOM,3.0,1316.0,Informal,1.0,434.0,2022-12-27T19:28:17.166332Z,2022-12-27T19:28:17.166377Z,14.157
373,Neutral,We," are pleased to announce that an individual will soon join our roster to serve as Director of the Center for the Study of Law, Culture, and Society. Dr. Susan Vail, a longtime Associate Professor of Law and director of the University of Texas Law School Law, Culture, and Society Project, will serve as the new director beginning in June. Dr. Vail will report to the vice president of University of Texas Law School and Director of the Law, Culture, and Society Project, Dr. Robert T. Grigsby, PhD.
The Center for the Study of Law, Culture, and Society is proud to have established itself as a new research center at UT Law, offering graduate-level and undergraduate students unique opportunities to work on",en,BLOOM,3.0,1315.0,Formal,1.0,433.0,2022-12-27T19:28:02.706780Z,2022-12-27T19:28:02.706817Z,26.429
374,Neutral,There," is certainly one particular market most of us forget when we consider of decorating for the wall. But, if you’ve had enough of using it, all you must do is simply add some frames to your photo.",en,XGLM,7.5,1314.0,Informal,1.0,432.0,2022-12-27T19:27:35.985284Z,2022-12-27T19:27:35.985327Z,13.243
375,Neutral,The," article goes on to say that, because of the lack of a national registry, “it is unclear as to the level of care that patients receiving hospice receive”. But, he says, the hospice industry should have been well aware of the issues and warned the government and medical associations that patients would need more resources if it were to introduce the current system. re is no mention of the problems facing UK nursing homes and hospitals on the same page.",en,BLOOM,7.1,1313.0,Informal,1.0,431.0,2022-12-27T19:27:22.435702Z,2022-12-27T19:27:22.435742Z,58.432
376,Informal,but thats her way... you could try it that way or you could just keep," on the same thing all the time but the end is the same - you don't learn any more.
I think your problem is simply the nature of teaching. You should try to make the teaching and learning process as enjoyable as possible.
What I'm trying to say is that you're not a teacher, you're a scientist, but a scientist who works for NASA.
What I'm trying to say is that your responsibility is to find the data that make the most sense to NASA to solve problems. So the answer to your question is yes, but there's a difference between ""looking for the answer"" and ""defining the answer"".
That's not what you're asking for, of course. Your question is more like: why is this question being asked? Why can't we",en,BLOOM,3.0,1312.0,Informal,1.0,430.0,2022-12-27T19:26:23.727733Z,2022-12-27T19:26:23.727770Z,16.083
377,Formal,"I became acquainted with a gentleman one time, romance galore. We first met amidst this"," great and vast swirling of events that have been described as 9/11. I had heard the tragic loss of so many lives at this tragic event and all I could think about was, ‘There are other people whose lives were taken so they can have a beautiful and fulfilling life.’ My thoughts turned to what it would be like to be able to help others live a beautiful and fulfilling life, so I wrote my first story about being part of something bigger than myself.
I became interested in the subject of 9/11 because of my experiences of living through it, but I wanted my story to be about helping others live a beautiful and fulfilling life regardless of what’s going on in the world at the time. The more I read about 9/11 and the",en,BLOOM,7.1,1311.0,Formal,1.0,429.0,2022-12-27T19:26:07.364499Z,2022-12-27T19:26:07.364536Z,105.64
378,Informal,make sure you dont make her hate you just get your point across too her,"... Its a pity you dont have any brothers, because they would be the perfect person to be your best friend, i think they would be really good to you... Its okay you dont have one right now, you can be your own best friend... Make yourself happy no matter what... And if you dont know why you dont have one, you dont have one just because of a family problem... Or some other reason.... You will come to love yourself and then you will get along with them.. I know you dont understand any of this, but just be honest about everything in you... You have to accept who you are and what you are and if she rejects you be honest about that too and dont try to trick her you can try again if you",en,BLOOM,7.1,1310.0,Informal,1.0,428.0,2022-12-27T18:15:45.985387Z,2022-12-27T18:15:45.985453Z,2.427
379,Formal,"All right, I am very, very into this one man and I'm unaware as go"," the others on this site. However, it is just too good not to share. There are a few problems, but overall its a must have. Please post more. Thanks.",en,XGLM,2.9,1309.0,Informal,1.0,427.0,2022-12-27T18:15:43.257405Z,2022-12-27T18:15:43.257447Z,4.937
380,Informal,Dont worry about him n just sonsentrate in school so you can lern n then," come back home
so you can help my father and mother
I'll work for you
What do you say?
- OK
Good bye
Sir you are going to work here, right?
- Yes sir
Can we help you?
- I have come to get my job
I'm going to get another job.
I'm going to get another job
Do you know how to write?
- Yes sir
Do you write well?
- Yes sir
I will teach you
Sir do you have a pen?
How can I teach you to write?
How do you write in English?
Why are you asking me this question?
I'm asking you because you have not been able to give me your pen
I had to give you only one pen to",en,BLOOM,3.0,1308.0,Informal,1.0,426.0,2022-12-27T18:15:37.977205Z,2022-12-27T18:15:37.977244Z,4.101
381,Informal,"girls are simply impressed if u can show a little care, respect and honesty to"," someone who is new to you. This is a sign of good breeding and a good man when asked. I know, for me, that has been proven to be true every time, and that the first two times were with very nice females. It is possible to meet a girl that wants to have sex with you, be open to it, and you can meet a girl that thinks about it or not.
If you don’t go through my advice and don’t learn from my mistakes and then try the same things I have done. You will be like many guys who are already trying to get married and don’t even know what to do to get the girl that they are trying to woo.
You want her to want you, you want her to want to be",en,BLOOM,3.0,1307.0,Informal,1.0,425.0,2022-12-27T18:15:33.593221Z,2022-12-27T18:15:33.593266Z,30.699
382,Neutral,We,"’ve moved, please visit us at www.prospectmarket.co.uk/newsletter! Follow us on Twitter – @Prospect_Mag",en,XGLM,7.5,1306.0,Informal,1.0,424.0,2022-12-27T18:15:02.589040Z,2022-12-27T18:15:02.589084Z,4.203
383,Neutral,He," then went on to say that if they don't, it's because the rest of the states have made it clear that they do.",en,XGLM,7.5,1305.0,Incohesive,1.0,423.0,2022-12-27T18:14:58.096227Z,2022-12-27T18:14:58.096283Z,12.74
384,Informal,"its ur PERSONALitie, keep to it, whether a guy goes out with u shouldnt determin","ate u. He just did his job. But, if the guy dont like u, its a waste of time and money. He shouldnt take any action to keep you from him and he shouldnt even stay in contact with you. Go after him and find someone else and stop ruining your life like this!! If ur having fun be happy and enjoy it!!
I like him but he doesn't make me feel good and he just acts out of character. It hurts to think that the guy doesn't know what he's doing with the other girls he is talking to at all. I know I should just keep myself out of his lives because I like him but I want to know where his head is at! This makes me upset and I don't wanna",en,BLOOM,3.0,1304.0,Informal,1.0,422.0,2022-12-27T18:14:45.048200Z,2022-12-27T18:14:45.048243Z,3.157
385,Neutral,They," want to cut
down your ranching enterprise, is all.

Hoping that you will try to keep them out of your business, in future,
and if possible try to keep them out of your church, by all means,
please send the boy off. Don't you see there is a good deal of
difficulty to be overcome, in getting a good man to accept a place
in a church where he will stand in need of constant attention? I do
not think a great man would say to a young man: 'Go to church, I
will help you.' Suppose a friend of mine asked me to build a house,
when he was only an architect of not more than twenty years
outside; I would have told",en,BLOOM,3.0,1303.0,Informal,1.0,421.0,2022-12-27T18:14:41.609617Z,2022-12-27T18:14:41.609656Z,4.678
386,Neutral,Do," you miss the days of pre-PC's?  you miss the days of ugly ""Atari""?  you even miss them? Well, it seems you do, because you are right to do so. Just remember, when a computer that's been out of date a few years is on sale, it's still not out of date at all, despite the lack of snazzy features. In fact, you can still get excellent performance and reliability for under $500. When you get to the point when your computer's capabilities begin to grow, then it's time to upgrade. You may think you have a lifetime of computing power left in you, but the truth is you're always getting younger.",en,XGLM,7.5,1302.0,Informal,1.0,420.0,2022-12-27T18:14:36.647662Z,2022-12-27T18:14:36.647734Z,7.695
387,Formal,The issue is that he did the worst thing that he could have done by," calling himself God. The best thing he could have done is to claim to be the son of God, as Jesus did. But Jesus couldn’t do that because the Romans did not have the right to do so. It was a question of whether this Roman officer was a sinner or a hero to a large number of people, and he had both.
This is one of the few books that I do not see anybody else mentioning except the Wikipedia. I do like a short list of books that everybody mentions though.",en,BLOOM,7.1,1301.0,Informal,1.0,419.0,2022-12-27T18:14:28.654321Z,2022-12-27T18:14:28.654363Z,32.741
388,Informal,but if u are sure then first tell your parents if you havent done allready.," its just a question of privacy and dignity.
There is another way to do it. One must not be very confident with the person who does the surgery. You can make your surgeon feel that you will die if he does it. Then the surgeon can do it without feeling it wrong.
Yes, I have read that. Though it is not safe. It just happens. And you have the option of having another opinion of the surgeon as well.",en,BLOOM,3.0,1300.0,Informal,1.0,418.0,2022-12-27T18:13:55.387728Z,2022-12-27T18:13:55.387767Z,19.142
389,Informal,if she sits on your bestfriends lap because she is drunk then yes it is, a form of violence and the fact that she doesn't want to stand up for herself is the evidence that you are a coward. I hope you learn some lessons from this.,en,BLOOM,3.0,1299.0,Informal,1.0,417.0,2022-12-27T18:13:35.942105Z,2022-12-27T18:13:35.942152Z,8.148
390,Formal,I realize I am overly selective when it comes to people; how can I stop," saying that? I mean, they are who they are, and it’s OK to disagree with them if they disagree with me. I am more comfortable with this person if I can get to a place where we can have a meaningful conversation that leads to a positive outcome for both of us. But, I will never give up my desire to know how people think. Even if I end up disagreeing, and I’m the only one in this conversation. If it was anyone else, I might give up on it because I don’t know how much I have learned from that person even if they tell me I have.
I think I am overly selective, too. We are all complex people, and there is an art to dealing with people and finding people who",en,BLOOM,3.0,1298.0,Informal,1.0,416.0,2022-12-27T18:13:27.470281Z,2022-12-27T18:13:27.470319Z,1329.919
391,Formal,"Be authentic and demonstrate some machismo. That is what women, or at least most women,"," want – we want a man, we want a man – and that is the way we will love, respect, and love you if we can find it in you.”
We will be providing our regular weekly activities and services to the community on Monday 21st December 2020.
If you have any questions about how you can stay connected to a loved one, or to see our team, please contact us at
Pharmaceutical companies spend millions of dollars each year promoting new drugs to doctors. Their focus? Showing them the benefits of new treatments. But when the products get released to consumers in drug stores, doctors have to keep up with changes in marketing – and sometimes, it can be a struggle.
That’s where Doctors and Patients can",en,BLOOM,7.1,1297.0,Informal,1.0,415.0,2022-12-27T17:51:17.191207Z,2022-12-27T17:51:17.191252Z,545.232
392,Neutral,The," three different sets of parameters that we used to simulate the simulated data, along with the AIC, BIC, and LRTs for each of the three combinations of the hyperparameters, are given in Table 6.  three methods agree that the parameters that lead to the best model selection criteria are very close to the ones that we chose from the real data.
Looking at the third set of parameters in Table 6, the effect of the number of layers on classification performance is quite modest. When all hyperparameters were identical to their real-world counterparts, the model learned in 100 layers performed as well as the model learned in 30 layers, as shown in Table 6.
As we would have expected, the more precisely the real-world parameter values can be estimated,",en,BLOOM,3.0,1296.0,Formal,1.0,414.0,2022-12-27T17:42:11.606328Z,2022-12-27T17:42:11.606406Z,18.089
393,Formal,"I think most men do not care, but it does depend on the individual person."," The ones that do care and really want to try it will be the ones to try and see if it helps.
If you’re unsure, go for the natural form. It will cost more but it will be less painful than going natural. If you really don’t want to try the clitoral cream, don’t even bother trying.
Well, that depends on your situation. If you have just recently come to terms with your size, yes, you might be able to. If you’ve got a lot of breasts or you’re dealing with a major breast reduction that is making your nipples appear unnatural, chances are they won’t be as sensitive. If you’re dealing with stretch marks, those will be more sensitive than the natural ones, but still not as sensitive",en,BLOOM,3.0,1295.0,Informal,1.0,413.0,2022-12-27T17:41:53.217727Z,2022-12-27T17:41:53.217767Z,21.097
394,Formal,That is strange but perhaps. I do not know. I will speak to my friend," in Paris and find out.""
""You are too kind, monsieur,"" he replied, smiling. ""I shall call again later, if I can find you.""
He turned, looked at the door which was not locked, and then opened it and entered. As he did so he came upon a servant who was kneeling in the middle of the chamber, and the countess had sunk at one side of the room, her face hidden in her hands.
His manner changed suddenly as he saw the girl and his face looked strangely agitated as he came a little nearer.",en,BLOOM,7.1,1294.0,Formal,1.0,412.0,2022-12-27T17:41:31.812743Z,2022-12-27T17:41:31.812790Z,27.116
395,Formal,The relationship is still happening because neither of you have the courage to end things.," You are still attached and attached to the painful feelings you get from your relationship.
There is no easy or quick way out. And the sad part is, you both are not ready to end the relationship. I know because both of you are attached and still hurting.
That’s why it’s important for you to understand the feelings that you have right now. I hope this post is helpful in understanding the problem.
Being in a breakup doesn’t have to be painful. Sometimes it’s just a lack of communication. A lack of connection between the two of you. If you still love the person, stop doing these six things.
These six things are not the main reasons why a breakup has happened. In my experience, these six things are the worst,",en,BLOOM,7.1,1293.0,Informal,1.0,411.0,2022-12-27T17:41:04.329520Z,2022-12-27T17:41:04.329567Z,4939.487
396,Informal,If you plan on cheating on your wife...you're a freaking pig and need to be," in the hole.
She has been so kind to me.
I want to take her.
Oh, please, sweetie, you've got all night.
I'm gonna do some reading.
Well, good luck to both of you.
I can see her tomorrow night.
That's too bad.
She's not coming to dinner.
Uh-huh.
Well, where will we see her again?
I've got my whole evening planned.
She's gonna be there.
She's gonna stay at the hotel.
Where are you going?
I think I know what I am gonna do with her.
Uh-uh.
I think so too.
Oh, my God.
Diane.
What is that?
Hey.
We are going out on a boat.
It's not safe for you here.
She's",en,BLOOM,3.0,1292.0,Informal,1.0,410.0,2022-12-27T16:18:44.339070Z,2022-12-27T16:18:44.339113Z,6.709
397,Formal,"If his affections tended away from her and toward you, he likely would've terminated the"," relationship. The guy is emotionally unstable. It could be a one time thing or his way of ""talking it out"". Your friend should let this guy know that he isn't wanted if he continues to try to push that button.",en,XGLM,7.5,1291.0,Informal,1.0,409.0,2022-12-27T16:18:37.210209Z,2022-12-27T16:18:37.210253Z,2.745
398,Formal,Is it bad if I have not kissed the girl I have been with for," several weeks but did not have her consent to the sexual act?
I am a married man who has been secretly pursuing a female of the opposite sex for some time. We spoke on the phone, and later made out a few times, but I have not made the first move. In the absence of a response from my wife, I started to fantasize about having her. Now, I know it is not right. Why can't she decide on a mutual decision as to when we will make the first move? If we make the first move, what will she say to me? If I have not made the first move, and the girl rejects the first move, I can I expect her to accept a mutual decision as to when we will make",en,BLOOM,3.0,1290.0,Informal,1.0,408.0,2022-12-27T16:18:34.115823Z,2022-12-27T16:18:34.115862Z,28.9
399,Informal,The safest rules of internet dating are these: 1. chat via email and messenger 2.," never use e-mail or online messaging for a meet and greet 3. always meet in a public area of a public place 4. never give out your home address or family contact information and 5. never give out personal information online 6. never chat for hours and hours at a time 7. never meet someone you don’t know, in a public location 8. never chat via email on the first date 9. never meet someone via a chat room in a strange hotel or in a local pub
If you’ve done all of this and you still have not received a response from the woman of your dreams, then it might be time to look for a new girl. It might be that you and her had miscommunication on the first date. It might be",en,BLOOM,7.1,1289.0,Informal,1.0,407.0,2022-12-27T16:18:04.914531Z,2022-12-27T16:18:04.914570Z,16.094
400,Formal,If you are dating the guy you love you need to get rid of your," fear. If you are not dating, you do not need to be afraid of what people might think.
However, I wasn’t sure whether I should be upset about his actions or how to behave around him now.
I could feel him laughing. I asked him if it was all right and he gave a short answer. The laughter faded away and he said something else.
When someone’s dating a psychopath, it may feel as if they have no choice but to be with the person. But there are other signs that show that you need to distance yourself from a psychopath.
And if he’s not doing any of those things, it may be that he is not in the relationship for the right reasons. Psychopaths can get away",en,BLOOM,7.1,1288.0,Formal,1.0,406.0,2022-12-27T16:17:48.449247Z,2022-12-27T16:17:48.449285Z,2128.31
401,Formal,"You need to replace it, just add it back in, the same way you did"," before with all of the files. The instructions on the page, are there for a Vista, 32bit OS, or a 64bit OS?",en,XGLM,7.5,1287.0,Formal,1.0,405.0,2022-12-27T15:42:19.824099Z,2022-12-27T15:42:19.824167Z,7.52
402,Neutral,Do, you want to follow this publication? Sign up for free!. Start your own free organization. Add a public notice. Get the latest business and real estate listings of Commercial Real Estate agents in United States.,en,XGLM,2.9,1286.0,Formal,1.0,404.0,2022-12-27T15:42:12.025137Z,2022-12-27T15:42:12.025183Z,6.457
403,Formal,"Almost without exception (not constantly) those are men similar in age to yourself, more or"," less in their prime or middle years. They may or may not be married or have children. They will have similar interests and they generally have to be ""clean"". If you're interested in them, keep the faith. There are no guarantees, but they are bound to like you. You just have to ""keep the faith"".",en,XGLM,2.9,1285.0,Informal,1.0,403.0,2022-12-27T15:42:05.265009Z,2022-12-27T15:42:05.265048Z,137.636
404,Informal,if u have penis than its no problem u just hv to penitrate her pussy,", to increase ur length, or take the pill
I would say most men find it harder to have sex with a size 0 penis than normal ones. Some men also report that it makes them feel embarrassed.
The truth is, there is a lot of people out there having trouble finding a partner to have sex with. It’s not the actual size that makes the problem, it’s the fact that most men want to please one partner at a time and have to deal with one less person every time. You’re much better off with a size 2 or size 3 than you are with a size 0.
Yes, you should go for an enlargement method. It can be one of the most rewarding life changes you’ll ever make.
I am sure there",en,BLOOM,3.0,1284.0,Informal,1.0,402.0,2022-12-27T15:39:47.336386Z,2022-12-27T15:39:47.336427Z,8.012
405,Informal,The safest rules of internet dating are these: 1. chat via email and messenger 2.," never ever reply to an email asking for details on your own 3. never ever give out any personal information that is personal a person asking for details 5. never ever submit any intimate information about you on an online dating internet site 6. make sure that the e-mail you use on a dating internet site is real This list is by no means absolute; as an example, the email shouldn’t state your title, home address, or other individual info. Nevertheless it is the easiest way to avoid scams and protect yourself from people that are manipulative. As an example, most scammy internet dating sites ask you to join to have a totally free profile where you can post pictures and information. You are likely to be asked for a credit card amount or other",en,BLOOM,3.0,1283.0,Informal,1.0,401.0,2022-12-27T15:39:39.027621Z,2022-12-27T15:39:39.027674Z,23.39
406,Informal,"her parents?u can't fix it... her friends?maybe u can talk to them nicely...but, pls specify"," her friends and then tell me if it was me, i mean...if her family was in that situation, would you have behaved differently. u should have made a more detailed approach, not be so casual..i was in that situation too...",en,XGLM,2.9,1282.0,Informal,1.0,400.0,2022-12-27T15:39:15.334146Z,2022-12-27T15:39:15.334191Z,7.459
407,Informal,It's a good idea to always be honest...besides not many guys I know don't like," to admit they slept around.
I don't sleep with people.
It's just I didn't sleep with anyone that was gay...so...that's weird.
It is weird?
Sounds like a good idea to stay away from gay guys.
Well, it's a good idea to stay away from all guys.
I'm going to go to the shower, and then I'll come back.
How about we talk on the way down?
Do you want to drink some water?
Or is that too dirty?
Oh, no, I'm fine.
I'm sure it's perfectly clean.
I feel dirty, you know... because I just had sex.
I mean, you know, I mean, that...
That...
That's not what I...
That I thought it would be.
So...
And then",en,BLOOM,3.0,1281.0,Informal,1.0,399.0,2022-12-27T15:39:07.534318Z,2022-12-27T15:39:07.534368Z,32.428
